BLSW,Black Swift,Cypseloides niger,Small insectivore,Both,Blue,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.00%,,0,0,0,0,0,0,0,0,1,0,0,0
BLTU,Black Turnstone,Arenaria melanocephala,Shorebird,Federal,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BNOW,Barn Owl,Tyto alba,Owl,Provincial,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BOGU,Bonaparte's Gull,Larus philadelphia,Gull,Federal,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BRAC,Brandt's Cormorant,Phalacrocorax penicillatus,Pelagic,Both,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BRBL,Brewer's Blackbird,Euphagus cyanocephalus,Passerine,Federal,Yellow,0,0,2,0,0,1,2,0,0,2,4,0,0,0,11,54.55%,,0,0,0,0,2,8,0,1,0,0,0,0
BRBO,Brown Booby,Sula leucogaster,Pelagic,Federal,Accidental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BRCR,Brown Creeper,Certhia americana,Small insectivore,Federal,Yellow,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0.00%,,0,0,0,0,0,0,2,1,0,0,0,0
BRPE,Brown Pelican,Pelecanus occidentalis,Pelagic,Both,No status,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BTPI,Band-tailed Pigeon,Columba fasciata,Passerine,Both,Blue,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.00%,,0,0,0,0,0,1,0,1,0,0,0,0
BTYW,Black-throated Gray Warbler,Setohaga nigrescens,Small insectivore,Federal,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BUFF,Bufflehead ,Bucephala albeola,Waterfowl,Federal,Yellow,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,100.00%,,1,0,0,0,0,0,0,0,0,0,0,1
BULS,Buller's Shearwater,Ardenna bulleri,Pelagic,Both,Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
BUOR,Bullock's Oriole,Icterus bullockii,Passerine,Federal,Yellow,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00%,,0,0,0,0,0,0,1,0,0,0,0,0
BUSH,Bushtit,Psaltriparus minimus,Small insectivore,Federal,Yellow,0,0,0,3,1,0,10,1,0,0,0,0,0,0,15,0.00%,,1,0,0,6,1,4,2,0,0,0,0,1
BWTE,Blue-winged Teal,Anas discors,Waterfowl,Federal,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
CAAU,Cassin's Auklet,Ptychoramphus aleuticus,Pelagic,Both,Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
CACG,Cackling Goose,Branta hutchinsii,Waterfowl,Federal,Yellow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,,0,0,0,0,0,0,0,0,0,0,0,0
